stem	words	count	pos	definitions
posit	{'positive'}	19	{'ADJ'}	[{'word': 'positive', 'definition': 'characterized by or displaying affirmation or acceptance or certainty etc.', 'sentence': 'For a start and from a general perspective, one crucial feature of trusting another agent is often presented as a form of uncertainty coupled to a positive expectation towards the trusted agent (Danks, 2019).'}, {'word': 'positive', 'definition': 'characterized by or displaying affirmation or acceptance or certainty etc.', 'sentence': 'And a positive expectation on the other hand, as trusting another agent suggests that one does think that said agent is, as a matter of fact, reliable or trustworthy.'}, {'word': 'positive', 'definition': 'characterized by or displaying affirmation or acceptance or certainty etc.', 'sentence': 'These two characteristics (uncertainty and positive expectation) are also tied to a form of vulnerability on the part of the agent who takes the step of placing their trust in another.'}, {'word': 'positive', 'definition': 'characterized by or displaying affirmation or acceptance or certainty etc.', 'sentence': 'We can read, e.g. in Danks (2019, p. 521), that ‘at a high level, we often understand trust as a relation in which the trustor makes oneself vulnerable based on positive expectations about the behavior or intentions of the trustee’ (see also Alvarado, 2022).'}, {'word': 'positive', 'definition': 'characterized by or displaying affirmation or acceptance or certainty etc.', 'sentence': 'In relation to artefacts or machines, the positive expectation of the user therefore reflects a form of epistemic deference towards the agents who created the artefacts: someone using a GPS device to find their way around an unfamiliar city does not need to know how the device works in order to rely on it.'}]
reliabl	{'reliability'}	19	{'NOUN'}	[{'word': 'reliability', 'definition': 'the quality of being dependable or reliable', 'sentence': 'Trustworthiness is considered to be much more meaningful than mere reliability, and being trustworthy would require the recipient of trust to possess particular moral characteristics.'}, {'word': 'reliability', 'definition': 'the quality of being dependable or reliable', 'sentence': 'However, a significant subset of the philosophical and epistemological literature on AI systems takes up this observation to put forward the following hypothesis: the epistemic position we find ourselves in (as nonspecialists in a domain) when it comes to assessing the correctness and reliability of the judgements of a human expert would actually be no more advantageous than the position we find ourselves in when it comes to assessing the correctness and reliability of the judgements of an AI system (Zerilli et al. 2019; London, 2019).'}, {'word': 'reliability', 'definition': 'the quality of being dependable or reliable', 'sentence': 'However, a significant subset of the philosophical and epistemological literature on AI systems takes up this observation to put forward the following hypothesis: the epistemic position we find ourselves in (as nonspecialists in a domain) when it comes to assessing the correctness and reliability of the judgements of a human expert would actually be no more advantageous than the position we find ourselves in when it comes to assessing the correctness and reliability of the judgements of an AI system (Zerilli et al. 2019; London, 2019).'}, {'word': 'reliability', 'definition': 'the quality of being dependable or reliable', 'sentence': 'The idea would be to equip ourselves with an institutional apparatus analogous to the one that is put in place in the context of human expertise, which could take charge of assessing the reliability of an artificial system – and which could also play the role of moral guarantee for our deference towards the decisions taken by a machine.'}, {'word': 'reliability', 'definition': 'the quality of being dependable or reliable', 'sentence': 'We have already had the occasion to note in the foregoing that the artificial systems in question do indeed make it possible to obtain results that are generally of a high quality, correctness, or reliability – and that are moreover sometimes more accurate than the results produced by human experts.'}]
relationship	{'relationship'}	18	{'NOUN'}	[{'word': 'relationship', 'definition': "a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)", 'sentence': 'One can read, for example, that ‘essentially, the relationship between practitioner and AI system is epistemic ally analogous to the relationship between practitioner and expert’ (Bjerring & Bush, 2020, p. 6), or that ‘the features that make expert opinion trustworthy, and our trust in those individuals’ decisions both epistemic ally and ethically responsible—can be realized in AI as well’ (Ross, 2022, p. 8).'}, {'word': 'relationship', 'definition': "a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)", 'sentence': 'One can read, for example, that ‘essentially, the relationship between practitioner and AI system is epistemic ally analogous to the relationship between practitioner and expert’ (Bjerring & Bush, 2020, p. 6), or that ‘the features that make expert opinion trustworthy, and our trust in those individuals’ decisions both epistemic ally and ethically responsible—can be realized in AI as well’ (Ross, 2022, p. 8).'}, {'word': 'relationship', 'definition': "a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)", 'sentence': 'The former, namely physically mediated instruments, have a causal relationship with the world they enable us to study (a paradigmatic example would be the telescope).'}, {'word': 'relationship', 'definition': "a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)", 'sentence': 'The latter, i.e. theoretically mediated instruments – which are of particular interest to us here – entertain a relationship that is no longer causal but purely conceptual with the world they enable us to study (the paradigmatic example being the model or simulation).'}, {'word': 'relationship', 'definition': "a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)", 'sentence': 'Amber Ross (2022), in a recent paper, goes in this direction and advocates the fertility of such a conceptualisation of our relationship with AI systems by analogy with the relationship we ordinarily have with human experts.'}]
artefact	{'artefacts'}	18	{'NOUN'}	[{'word': 'artefacts', 'definition': 'a man-made object taken as a whole', 'sentence': 'Turning now more specifically to trust in an artificial system (an artefact), let us point out the following: it is traditional to distinguish at least between two aspects of trust in artificial systems: the most ‘traditional’ aspect (since it initially concerns machines in the traditional sense of the term – i.e. artefacts with moving parts) is that of ‘reliance’ (Coeckelbergh, 2012).'}, {'word': 'artefacts', 'definition': 'a man-made object taken as a whole', 'sentence': 'Recently, a more debatable aspect to come forth in the context of trust in artefacts is that of the ‘trustworthiness’ of a given artificial system.'}, {'word': 'artefacts', 'definition': 'a man-made object taken as a whole', 'sentence': 'Discussions about epistemic artefacts often take the time to distinguish more finely between several types of justification for the trust (as reliance) placed in these instruments.'}, {'word': 'artefacts', 'definition': 'a man-made object taken as a whole', 'sentence': 'In relation to artefacts or machines, the positive expectation of the user therefore reflects a form of epistemic deference towards the agents who created the artefacts: someone using a GPS device to find their way around an unfamiliar city does not need to know how the device works in order to rely on it.'}, {'word': 'artefacts', 'definition': 'a man-made object taken as a whole', 'sentence': 'In relation to artefacts or machines, the positive expectation of the user therefore reflects a form of epistemic deference towards the agents who created the artefacts: someone using a GPS device to find their way around an unfamiliar city does not need to know how the device works in order to rely on it.'}]
term	{'terms'}	18	{'NOUN'}	[{'word': 'terms', 'definition': 'status with respect to the relations between people or groups', 'sentence': 'One can only trust things that have wills (…)\n\nSeveral authors now consider that trust in the latest AI systems (based on deep learning) – although it can no longer be thought of solely in terms of reliance and needs to be reconceptualised – should not be approached in the same way as one approaches interpersonal trust, i.e. trust between human agents (Ryan, 2020; Alvarado, 2022).'}, {'word': 'terms', 'definition': 'status with respect to the relations between people or groups', 'sentence': 'To take one example, Evan Thompson et al. (2024, p. 169) rightly point out that expert Go players ‘use their finely honed pattern recognition skills, which they cannot verbalize or formulate in terms of explicit concepts and rules’.'}, {'word': 'terms', 'definition': 'status with respect to the relations between people or groups', 'sentence': 'It is then understandable that the trust placed in the expert in this veritistic conception may be based on what Jennifer Lackey (2018) describes as a ‘Track Record Argument’, which consists in acknowledging the visible superiority of one individual over others in terms of their ability to reach the truth on a given subject.'}, {'word': 'terms', 'definition': 'status with respect to the relations between people or groups', 'sentence': 'The addition of the criterion of comprehension thus leads us to adopt what Watson (2018, p. 46) characterises as a form of ‘epistemic facility account’ of expertise – which he presents as follows:\n\n(EF) A subject, S, is an expert in a subject matter, M, if and only if S (a) understands a substantial proportion of the terms, propositions, and arguments in M, along with the procedures used to formulate propositions in M, and (b) S has the ability to demonstrate (a) successfully in the discharge of her epistemic activities.'}, {'word': 'terms', 'definition': 'status with respect to the relations between people or groups', 'sentence': 'Unlike the first use of because, which explains the action in terms of the agent’s reasons and which is a normative use, this second use does not explain the action of raising the arm as such, but rather explains the movement of the arm.'}]
peer	{'peers'}	17	{'NOUN'}	[{'word': 'peers', 'definition': 'a person who is of equal standing with another in a group', 'sentence': 'I will conclude by suggesting that AI systems cannot be genuine ‘experts’ and thus cannot literally be ‘epistemic peers’ with which human experts might agree or disagree.'}, {'word': 'peers', 'definition': 'a person who is of equal standing with another in a group', 'sentence': 'It is worth mentioning the definition given by these two authors of an epistemic disagreement between peers:\n\n‘peer disagreement’ describes cases of two (equally) competent peers with respect to a certain domain related activity, whereby both parties disagree with respect to a certain proposition.'}, {'word': 'peers', 'definition': 'a person who is of equal standing with another in a group', 'sentence': 'It is worth mentioning the definition given by these two authors of an epistemic disagreement between peers:\n\n‘peer disagreement’ describes cases of two (equally) competent peers with respect to a certain domain related activity, whereby both parties disagree with respect to a certain proposition.'}, {'word': 'peers', 'definition': 'a person who is of equal standing with another in a group', 'sentence': 'The purely veritistic and functionalist conception of expertise, thus, does not seem to exclude the possibility for artefacts to act as epistemic experts and hence epistemic peers, insofar as they provide broadly correct results.'}, {'word': 'peers', 'definition': 'a person who is of equal standing with another in a group', 'sentence': '4.5 Epistemic peers and disagreement\n\nThese remarks about machines’ lack of intellectual character allow us to return to the questions raised earlier: can artificial systems be experts in the same way that human beings can?'}]
gener	{'generally'}	16	{'ADV'}	[{'word': 'generally', 'definition': 'usually; as a rule', 'sentence': 'These programs are proving to be extremely versatile: depending on the data they are ‘trained’ on, they can carry out tasks (hitherto exclusively reserved to human experts) with a certain degree of autonomy and in a generally highly satisfactory manner.'}, {'word': 'generally', 'definition': 'usually; as a rule', 'sentence': 'Melanie Mitchell (2019, p. 127) observes that …\n\nHumans can’t always explain their thought processes either, and you generally can’t look “under the hood” into other people’s brains (or into their “gut feelings”) to figure out how they came to any particular decision.'}, {'word': 'generally', 'definition': 'usually; as a rule', 'sentence': 'This blackbox rhetoric, as it is used by the authors mentioned above, seems to invite us to distinguish several varieties of opacity that are supposedly immanent to the relationship of trust between the layperson and the expert – an opacity generally presented, as we have just seen, as a place of reunion for the human expert and the AI system on which we rely to make decisions or acquire knowledge.'}, {'word': 'generally', 'definition': 'usually; as a rule', 'sentence': 'Other examples generally considered are those of artistic and medical expertise.'}, {'word': 'generally', 'definition': 'usually; as a rule', 'sentence': 'We have already had the occasion to note in the foregoing that the artificial systems in question do indeed make it possible to obtain results that are generally of a high quality, correctness, or reliability – and that are moreover sometimes more accurate than the results produced by human experts.'}]
output	{'output'}	16	{'NOUN'}	[{'word': 'output', 'definition': 'final product; the things produced', 'sentence': 'Opaque systems are furthermore frequently referred to in the literature as epistemic ‘black boxes’ (London, 2019; Creel, 2020), insofar as it is virtually impossible to verify or obtain any kind of explanation or justification concerning the production of a particular output.'}, {'word': 'output', 'definition': 'final product; the things produced', 'sentence': 'The output produced by the program would then, in these contexts, be regarded as an epistemic judgement in its own right, and the issue of peer disagreement would arise in an equivalent manner in cases where the judgements of two human experts differ and in cases where the output of a program and the judgement of a human expert differ (Grote & Berens, 2020).'}, {'word': 'output', 'definition': 'final product; the things produced', 'sentence': 'The output produced by the program would then, in these contexts, be regarded as an epistemic judgement in its own right, and the issue of peer disagreement would arise in an equivalent manner in cases where the judgements of two human experts differ and in cases where the output of a program and the judgement of a human expert differ (Grote & Berens, 2020).'}, {'word': 'output', 'definition': 'final product; the things produced', 'sentence': 'The criterion of the possibility of the expert providing an intelligible justification for their action thus poses a major problem for the analogy between the opacity of the output of AI systems and the opacity of the decisions of human experts: there is no question of an AI system understanding the subject for which it is mobilised, on the one hand, and explaining or justifying its output by appealing to reasons, on the other.'}, {'word': 'output', 'definition': 'final product; the things produced', 'sentence': 'The criterion of the possibility of the expert providing an intelligible justification for their action thus poses a major problem for the analogy between the opacity of the output of AI systems and the opacity of the decisions of human experts: there is no question of an AI system understanding the subject for which it is mobilised, on the one hand, and explaining or justifying its output by appealing to reasons, on the other.'}]
norm	{'normative'}	16	{'ADJ'}	[{'word': 'normative', 'definition': 'relating to or dealing with norms', 'sentence': 'Another widely echoed approach to trusting someone is that of trust as a normative attitude (see particularly Baier, 1986).'}, {'word': 'normative', 'definition': 'relating to or dealing with norms', 'sentence': 'As Richard Holton (1994, p. 67) explains it, the normative account of trust implies that ‘[w]hen you trust someone to do some thing, you rely on them to do it, and you regard that reliance in a certain way: you have a readiness to feel betrayal should it be disappointed, and gratitude should it be upheld’.'}, {'word': 'normative', 'definition': 'relating to or dealing with norms', 'sentence': 'Thus, according to these accounts of trust as an affective or normative attitude, it is clear that an artificial system is not the kind of thing that could be the recipient of trust in this sense.'}, {'word': 'normative', 'definition': 'relating to or dealing with norms', 'sentence': 'This preliminary observation about the institutional or normative nature of expertise also reveals expertise’s twofold character: both social and personal.'}, {'word': 'normative', 'definition': 'relating to or dealing with norms', 'sentence': 'Indeed, it should be noted that although the practice of an expert sometimes seems indescribable using explicit rules, and although their judgement may sometimes appear to be ‘artistic’ (Shortliffe & Buchanan, 1975, p. 352) or vague, this initial observation should not lead us to conclude that the expert is positioned outside the normative field of reasons.'}]
layperson	{'layperson'}	15	{'PROPN', 'NOUN'}	[{'word': 'layperson', 'definition': 'someone who is not a clergyman or a professional person', 'sentence': 'Our ability to gain knowledge, presented as an irreducibly social enterprise, is arguably one in which it is then rational for a layperson to rely on the testimony of the expert (Hardwig, 1985)1.'}, {'word': 'layperson', 'definition': 'someone who is not a clergyman or a professional person', 'sentence': 'She writes that …\n\nour relation to some opaque AI technology may be sufficiently similar to the ordinary layperson’s relation to the specialized expert such that analyzing the successful expert/layperson epistemic relation may provide us with a blueprint for how to best utilize opaque AI, both practically and ethically.'}, {'word': 'layperson', 'definition': 'someone who is not a clergyman or a professional person', 'sentence': 'She writes that …\n\nour relation to some opaque AI technology may be sufficiently similar to the ordinary layperson’s relation to the specialized expert such that analyzing the successful expert/layperson epistemic relation may provide us with a blueprint for how to best utilize opaque AI, both practically and ethically.'}, {'word': 'layperson', 'definition': 'someone who is not a clergyman or a professional person', 'sentence': 'This blackbox rhetoric, as it is used by the authors mentioned above, seems to invite us to distinguish several varieties of opacity that are supposedly immanent to the relationship of trust between the layperson and the expert – an opacity generally presented, as we have just seen, as a place of reunion for the human expert and the AI system on which we rely to make decisions or acquire knowledge.'}, {'word': 'layperson', 'definition': 'someone who is not a clergyman or a professional person', 'sentence': '(1) Contingent relational opacity for the layperson.'}]
abl	{'able'}	15	{'ADJ'}	[{'word': 'able', 'definition': "(usually followed by `to') having the necessary means or skill or know-how or authority to do something", 'sentence': 'A network trained to detect patterns within an initial data set can thus be mobilised to discover trends within this corpus and be able, when subsequently confronted with a novel item, to make predictions, take decisions, propose diagnoses, categorise, etc., on its basis.'}, {'word': 'able', 'definition': "(usually followed by `to') having the necessary means or skill or know-how or authority to do something", 'sentence': 'To be an expert, one must both act as such and be recognised as such, and this recognition involves, among other things, being able to show the world one’s skills.'}, {'word': 'able', 'definition': "(usually followed by `to') having the necessary means or skill or know-how or authority to do something", 'sentence': 'The attribution of the badge of ‘expert’ to an AI system would then only concern the social dimension of expertise, without the presence of its objective (personal) dimension, which is nonetheless necessary in order to be able to fruitfully qualify an individual as an ‘expert’.'}, {'word': 'able', 'definition': "(usually followed by `to') having the necessary means or skill or know-how or authority to do something", 'sentence': 'Someone who memorises facts on a particular subject (for example) without trying to understand what they are about, although they may be able to provide correct answers to a number of questions about it, will not be considered an expert on the subject (Scholz, 2009; Croce, 2019; Baghramian & Croce, 2024).'}, {'word': 'able', 'definition': "(usually followed by `to') having the necessary means or skill or know-how or authority to do something", 'sentence': 'Here, I argue that it cannot: these rather ‘human’ characteristics (among which we find the capacity for understanding) are crucial for being able to speak of ‘expertise’, if we wish to retain the ordinary meaning of the term ‘expert’.'}]
literatur	{'literature'}	15	{'NOUN'}	[{'word': 'literature', 'definition': 'creative writing of recognized artistic value', 'sentence': 'Systems involving deep learning are widely used (to mention only some of the cases most frequently dis cussed in the literature) in the context of medical diagnosis and imaging (Lee et al., 2017; Grote & Berens, 2020; Bjerring & Busch, 2020), pol icing – within what is sometimes referred to as ‘predictive pol icing’ – (Asaro, 2019; Walsh, 2022), banking, finance and insurance (Narang et al., 2024; Pingili, 2024).'}, {'word': 'literature', 'definition': 'creative writing of recognized artistic value', 'sentence': 'The second one is presented as a form of ‘technical illiteracy’ or ‘technical opacity’ – to use two labels that have been given to it in the literature, respectively by Grote and Berens (2020) and Kaminski (2018).'}, {'word': 'literature', 'definition': 'creative writing of recognized artistic value', 'sentence': 'Opaque systems are furthermore frequently referred to in the literature as epistemic ‘black boxes’ (London, 2019; Creel, 2020), insofar as it is virtually impossible to verify or obtain any kind of explanation or justification concerning the production of a particular output.'}, {'word': 'literature', 'definition': 'creative writing of recognized artistic value', 'sentence': 'A somewhat recurrent hypothesis in the literature – sometimes stated explicitly, other times implicitly or underlyingly – is that the trust placed in these opaque systems should be modelled on the type of trust we ordinarily place in human experts.'}, {'word': 'literature', 'definition': 'creative writing of recognized artistic value', 'sentence': 'The third section of the paper will set out some arguments in favour of conceptualising our trust in artificial systems on the model of our trust in human experts, as they are sometimes found in the literature.'}]
given	{'given'}	15	{'VERB'}	[{'word': 'given', 'definition': 'cause to have, in the abstract sense or physical sense', 'sentence': 'The second one is presented as a form of ‘technical illiteracy’ or ‘technical opacity’ – to use two labels that have been given to it in the literature, respectively by Grote and Berens (2020) and Kaminski (2018).'}, {'word': 'given', 'definition': 'cause to have, in the abstract sense or physical sense', 'sentence': 'Given that these risks are real and relatively well identified, a pressing question then arises as to what precise account or expression should the trust placed in such systems be given.'}, {'word': 'given', 'definition': 'cause to have, in the abstract sense or physical sense', 'sentence': 'Given that these risks are real and relatively well identified, a pressing question then arises as to what precise account or expression should the trust placed in such systems be given.'}, {'word': 'given', 'definition': 'cause to have, in the abstract sense or physical sense', 'sentence': 'Recently, a more debatable aspect to come forth in the context of trust in artefacts is that of the ‘trustworthiness’ of a given artificial system.'}, {'word': 'given', 'definition': 'cause to have, in the abstract sense or physical sense', 'sentence': 'The concept of an expert’s ‘credibility’ has itself given rise to numerous epistemological discussions, particularly in the context of the study of the well documented phenomenon of ‘epistemic injustice’.'}]
explan	{'explanation'}	15	{'NOUN'}	[{'word': 'explanation', 'definition': 'a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.', 'sentence': 'Opaque systems are furthermore frequently referred to in the literature as epistemic ‘black boxes’ (London, 2019; Creel, 2020), insofar as it is virtually impossible to verify or obtain any kind of explanation or justification concerning the production of a particular output.'}, {'word': 'explanation', 'definition': 'a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.', 'sentence': 'The difficult ‘reading’ or ‘interpretation’ of opaque neural processes is thus presented as not being the end of the story, insofar as we have nevertheless managed to find ‘factors other than neurocomputational implementation in answering that “why” question’ (Cappelen & Dever, 2021 p. 19) about the explanation of our actions and decisions.'}, {'word': 'explanation', 'definition': 'a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.', 'sentence': 'This is where we find a second possible point of breakdown in the attribution of expertise to an individual: a person who professes judgements that are systematically identical to those of a real expert but who – unlike the latter – never has the slightest explanation or justification to give in support of them, would not be considered an expert at all.'}, {'word': 'explanation', 'definition': 'a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.', 'sentence': 'This assimilation of the two opacities would suggest that the explanation that the expert is unable to provide us could be found in their brain, if only we were able to decipher its workings.'}, {'word': 'explanation', 'definition': 'a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.', 'sentence': 'Our explanation mobilises the individual’s reason for raising their arm.'}]
mention	{'mentioned'}	14	{'VERB'}	[{'word': 'mentioned', 'definition': 'make reference to', 'sentence': 'This blackbox rhetoric, as it is used by the authors mentioned above, seems to invite us to distinguish several varieties of opacity that are supposedly immanent to the relationship of trust between the layperson and the expert – an opacity generally presented, as we have just seen, as a place of reunion for the human expert and the AI system on which we rely to make decisions or acquire knowledge.'}, {'word': 'mentioned', 'definition': 'make reference to', 'sentence': 'The first variety of opacity, mentioned by Ross, is characteristic of a layperson’s unfamiliarity with a particular field of expertise.'}, {'word': 'mentioned', 'definition': 'make reference to', 'sentence': 'This form of opacity is reflected in the form of ‘cognitive processes underlying human choices’, which thus differ from the previously mentioned opacity of judgement linked to the non explicit nature of the method followed by an expert (the relational opacity of the expert), and rather designates the presence in decision-making of what are often described as ‘implicit biases’ or ‘unconscious biases’ (Greenwald & Banaji, 1995)11.'}, {'word': 'mentioned', 'definition': 'make reference to', 'sentence': 'Such ‘credentialing processes’ for AI are mentioned by Ross (2022, p. 9) as a way of providing a reason for nonspecialists to defer to decisions made by machines.'}, {'word': 'mentioned', 'definition': 'make reference to', 'sentence': 'This latter concept – as we rapidly mentioned above – unlike the first, this time relates to the personal aspect of expertise – to what she describes as the expert’s ‘intellectual character’ (Rolin, 2002, p. 96).'}]
concern	{'concerning'}	14	{'VERB'}	[{'word': 'concerning', 'definition': 'be relevant to', 'sentence': 'Opaque systems are furthermore frequently referred to in the literature as epistemic ‘black boxes’ (London, 2019; Creel, 2020), insofar as it is virtually impossible to verify or obtain any kind of explanation or justification concerning the production of a particular output.'}, {'word': 'concerning', 'definition': 'be relevant to', 'sentence': 'A veritistic conception of expertise\n\nA first point to note concerning our conception of expertise and the possibility of its attribution to an artificial system is that we frequently consider it from an approach that can easily be described, following Alvin Goldman (1991, 2001, 2018) as ‘veritistic’ or ‘truth-linked’.'}, {'word': 'concerning', 'definition': 'be relevant to', 'sentence': 'There is indeed a great temptation to equate these two types of opacity: the opacity concerning the reasoning followed by the human expert (manifested by their inability to explain their decision) would be directly correlated with the opacity concerning the unintelligibility of the neuronal processes in their brain.'}, {'word': 'concerning', 'definition': 'be relevant to', 'sentence': 'There is indeed a great temptation to equate these two types of opacity: the opacity concerning the reasoning followed by the human expert (manifested by their inability to explain their decision) would be directly correlated with the opacity concerning the unintelligibility of the neuronal processes in their brain.'}]
exampl	{'example'}	14	{'NOUN'}	[{'word': 'example', 'definition': 'an item of information that is typical of a class or group', 'sentence': 'One can read, for example, that ‘essentially, the relationship between practitioner and AI system is epistemic ally analogous to the relationship between practitioner and expert’ (Bjerring & Bush, 2020, p. 6), or that ‘the features that make expert opinion trustworthy, and our trust in those individuals’ decisions both epistemic ally and ethically responsible—can be realized in AI as well’ (Ross, 2022, p. 8).'}, {'word': 'example', 'definition': 'an item of information that is typical of a class or group', 'sentence': 'The former, namely physically mediated instruments, have a causal relationship with the world they enable us to study (a paradigmatic example would be the telescope).'}, {'word': 'example', 'definition': 'an item of information that is typical of a class or group', 'sentence': 'The latter, i.e. theoretically mediated instruments – which are of particular interest to us here – entertain a relationship that is no longer causal but purely conceptual with the world they enable us to study (the paradigmatic example being the model or simulation).'}, {'word': 'example', 'definition': 'an item of information that is typical of a class or group', 'sentence': 'To take one example, Evan Thompson et al. (2024, p. 169) rightly point out that expert Go players ‘use their finely honed pattern recognition skills, which they cannot verbalize or formulate in terms of explicit concepts and rules’.'}, {'word': 'example', 'definition': 'an item of information that is typical of a class or group', 'sentence': 'For example, Jens Christian Bjerring and Jacob Busch (2020, p. 3) state that …\n\ninsofar as AI systems will eventually outperform the best practitioners in specific medical domains, practitioners will have epistemic obligation to rely on these systems in medical decision making.'}]
attribut	{'attribution', 'attributed'}	14	{'NOUN', 'VERB'}	[{'word': 'attributed', 'definition': 'attribute or credit to', 'sentence': 'As Miranda Fricker (1998, p. 168) notes, in these studies the notion of ‘credibility’ is presented as a ‘norm […] socially manifested in a particular historical and cultural setting’, such that it ‘guides practice so that rational authority is attributed to all and only those who possess the relevant working indicator properties’.'}, {'word': 'attributed', 'definition': 'attribute or credit to', 'sentence': 'Expertise as a socially attributed badge of credibility thus appears to be distinct from a more fundamental dimension of expertise, namely its individual dimension.'}, {'word': 'attributed', 'definition': 'attribute or credit to', 'sentence': 'Indeed, expertise and credibility are not normally attributed to just anyone, and characteristics specific to the individual must be apparent prior to qualification.'}, {'word': 'attributed', 'definition': 'attribute or credit to', 'sentence': 'It is at this point that matters about epistemic injustice can arise: if we realise, for instance, that credibility is attributed on a basis that we ultimately consider not to be qualifying or satisfactory for properly speaking of expertise.'}, {'word': 'attribution', 'definition': 'assigning some quality or character to a person or thing', 'sentence': 'The attribution of the badge of ‘expert’ to an AI system would then only concern the social dimension of expertise, without the presence of its objective (personal) dimension, which is nonetheless necessary in order to be able to fruitfully qualify an individual as an ‘expert’.'}]
object	{'objective'}	14	{'NOUN', 'ADJ'}	[{'word': 'objective', 'definition': 'the goal intended to be attained (and which is believed to be attainable)', 'sentence': 'Jamie Watson (2018, p. 41) thus distinguishes two dimensions of expertise: (1) the ‘objective’ dimension, also described as ‘truth-linked’, which refers to an individual’s (personal) status as an expert, whether or not publicly recognised, and (2) the ‘social’ dimension of expertise, which refers to the institutional recognition of the individual’s expertise (see also Majdik & Keith, 2011).'}, {'word': 'objective', 'definition': 'the goal intended to be attained (and which is believed to be attainable)', 'sentence': 'The important question for us now is to determine whether there are – or whether there could be – AI systems that possess the objective (or personal) dimension of expertise, without benefiting from its social dimension (i.e. without being recognised as such).'}, {'word': 'objective', 'definition': 'the goal intended to be attained (and which is believed to be attainable)', 'sentence': 'Its objective, personal – or, one might say, authentic – dimension, on the other hand, cannot in my view be conferred on an AI system of any kind.'}, {'word': 'objective', 'definition': 'the goal intended to be attained (and which is believed to be attainable)', 'sentence': 'I contend that these characteristics, however, cannot be true criteria of an artificial system’s expertise, for they would necessarily be uncorrelated from an objective or personal dimension of expertise.'}, {'word': 'objective', 'definition': 'the goal intended to be attained (and which is believed to be attainable)', 'sentence': 'The attribution of the badge of ‘expert’ to an AI system would then only concern the social dimension of expertise, without the presence of its objective (personal) dimension, which is nonetheless necessary in order to be able to fruitfully qualify an individual as an ‘expert’.'}]
technolog	{'technology'}	13	{'NOUN'}	[{'word': 'technology', 'definition': 'the practical application of science to commerce or industry', 'sentence': 'Walker et al., 2023) – the latter being liable to lead the considered technology to be described as ‘oppressive’ (Huebner & Liao, 2021).'}, {'word': 'technology', 'definition': 'the practical application of science to commerce or industry', 'sentence': 'Trust in artefacts is thus, as Coeckelbergh writes (p. 54), a form of ‘indirect trust in the humans related to the technology’.'}, {'word': 'technology', 'definition': 'the practical application of science to commerce or industry', 'sentence': 'She writes that …\n\nour relation to some opaque AI technology may be sufficiently similar to the ordinary layperson’s relation to the specialized expert such that analyzing the successful expert/layperson epistemic relation may provide us with a blueprint for how to best utilize opaque AI, both practically and ethically.'}, {'word': 'technology', 'definition': 'the practical application of science to commerce or industry', 'sentence': 'She writes that …\n\nif we are interested in developing an approval process that could certify certain opaque AI technology and approve its use in particular contexts while all owing the technology to remain opaque, we might make progress on this issue by continuing research into the relevant features of familiar and successful practices of certifying human experts.'}, {'word': 'technology', 'definition': 'the practical application of science to commerce or industry', 'sentence': 'She writes that …\n\nif we are interested in developing an approval process that could certify certain opaque AI technology and approve its use in particular contexts while all owing the technology to remain opaque, we might make progress on this issue by continuing research into the relevant features of familiar and successful practices of certifying human experts.'}]
