stem	words	count	pos	definition
case	{'cases'}	24	{'NOUN'}	{'a special set of circumstances', 'a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy'}
matter	{'matter'}	22	{'NOUN'}	{'some situation or event that is thought about'}
relat	{'related'}	22	{'VERB'}	{'be relevant to'}
follow	{'follows', 'Following', 'followed', 'following'}	22	{'VERB'}	{"act in accordance with someone's rules, commands, or wishes", 'be later in time', 'come as a logical consequence; follow logically'}
ration	{'rational'}	21	{'ADJ'}	{'having its source in or being guided by the intellect (as distinguished from experience or emotion)'}
particular	{'particular'}	21	{'ADJ'}	{'first and most important', 'separate and distinct from others of the same group or category'}
characterist	{'characteristics', 'characteristic'}	20	{'NOUN'}	{'a distinguishing quality'}
caus	{'Causes', 'causes', 'caused'}	20	{'NOUN', 'VERB'}	{'a justification for something existing or happening', 'a series of actions advancing a principle or tending toward a particular end', 'cause to do; cause to act in a specified manner'}
moral	{'moral'}	20	{'ADJ'}	{'psychological rather than physical or tangible in effect'}
charact	{'character'}	20	{'NOUN'}	{'the inherent complex of attributes that determines a persons moral and ethical actions and reactions; - Herbert Spencer', 'a characteristic property that defines the apparent individual nature of something'}
present	{'presented', 'presentations'}	19	{'NOUN', 'VERB'}	{'introduce', 'a show or display; the act of presenting something to sight or view', 'bring forward and present to the mind'}
al	{'al'}	19	{'PROPN'}	{'a state in the southeastern United States on the Gulf of Mexico; one of the Confederate states during the American Civil War'}
process	{'processes'}	19	{'NOUN'}	{'(psychology) the performance of some composite cognitive activity; an operation that affects mental contents'}
relationship	{'relationships', 'relationship'}	18	{'NOUN'}	{'(anthropology) relatedness or connection by blood or marriage or adoption', 'a state involving mutual dealings between people or parties or countries'}
posit	{'positive'}	18	{'ADJ'}	{'involving advantage or good'}
term	{'terms'}	18	{'NOUN'}	{'a word or expression used for some particular thing'}
social	{'social'}	17	{'ADJ'}	{'relating to or belonging to or characteristic of high society'}
refer	{'referring', 'referred'}	17	{'VERB'}	{'think of, regard, or classify under a subsuming principle or with a general group or in relation to another'}
suggest	{'suggesting', 'suggests', 'suggested', 'suggest'}	17	{'VERB'}	{'suggest the necessity of an intervention; in medicine', 'call to mind', 'imply as a possibility'}
peer	{'peers'}	17	{'NOUN'}	{'a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage'}
output	{'outputs', 'output'}	16	{'NOUN'}	{'production of a certain amount'}
norm	{'norm'}	16	{'NOUN'}	{'a statistic describing the location of a distribution'}
dimens	{'dimensions', 'dimension'}	16	{'NOUN'}	{'a construct whereby objects or individuals can be distinguished'}
abl	{'able'}	15	{'ADJ'}	{'have the skills and qualifications to do things well'}
given	{'given'}	15	{'VERB'}	{'be the cause or source of'}
opaqu	{'Opaque', 'opaque'}	15	{'ADJ'}	{'not clearly understood or expressed'}
justifi	{'justified'}	15	{'VERB'}	{'defend, explain, clear away, or make excuses for by reasoning', 'show to be right by providing justification or proof'}
cours	{'course'}	15	{'NOUN'}	{'a connected series of events or actions or developments'}
field	{'fields', 'field'}	15	{'NOUN'}	{'a region where a battle is being (or has been) fought', 'a branch of knowledge'}
possibl	{'possibility'}	15	{'NOUN'}	{'capability of existing or happening or being true', 'a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena'}
mention	{'mention', 'mentioned'}	14	{'VERB'}	{'commend', 'make mention of'}
concern	{'concern'}	14	{'NOUN'}	{'a commercial or industrial enterprise and the people who constitute it'}
varieti	{'varieties', 'variety'}	14	{'NOUN'}	{'a category of things distinguished by some common characteristic or quality'}
make	{'making', 'make'}	14	{'VERB'}	{'cause to do; cause to act in a specified manner', 'give certain properties to something'}
correct	{'correct', 'correctness'}	14	{'NOUN', 'ADJ'}	{'the quality of conformity to social expectations', 'socially right or correct'}
object	{'objective'}	14	{'ADJ'}	{'belonging to immediate experience of actual things or events'}
intellectu	{'intellectual'}	13	{'ADJ'}	{'involving intelligence rather than emotions or instinct', 'appealing to or using the intellect'}
learn	{'learning'}	13	{'VERB'}	{'impart skills or knowledge to'}
paper	{'paper'}	13	{'NOUN'}	{'a scholarly article describing the results of observations or stating hypotheses', 'an essay (especially one written as an assignment)', 'a daily or weekly publication on folded sheets; contains news and articles and advertisements'}
respons	{'responsibility'}	13	{'NOUN'}	{'the proper sphere or extent of your activities', "a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct"}
specif	{'specific'}	13	{'ADJ'}	{'stated explicitly or in detail'}
design	{'design', 'designates', 'designed'}	13	{'NOUN', 'VERB'}	{'plan something for a specific role or purpose or effect', 'make a design of; plan out in systematic, often graphic form', 'indicate a place, direction, person, or thing; either spatially or figuratively', 'a decorative or artistic work'}
relianc	{'reliance'}	12	{'NOUN'}	{'the state of relying on something'}
natur	{'nature'}	12	{'NOUN'}	{'a causal agent creating and controlling things in the universe'}
expect	{'expectation', 'expects'}	12	{'NOUN', 'VERB'}	{'the feeling that something is about to happen', 'consider obligatory; request and expect'}
defer	{'deference', 'deferring'}	11	{'NOUN', 'VERB'}	{"yield to another's wish or opinion", 'a disposition or tendency to yield to the will of others'}
testimoni	{'testimony'}	11	{'NOUN'}	{'something that serves as evidence'}
mobilis	{'mobilised'}	11	{'VERB'}	{'make ready for action or use'}
observ	{'observation', 'observes'}	11	{'NOUN', 'VERB'}	{'the act of noticing or paying attention', 'a remark expressing careful consideration', 'make mention of'}
precis	{'precisely'}	11	{'ADV'}	{'just as it should be', 'in a precise manner'}
result	{'results'}	11	{'NOUN'}	{'a statement that solves a problem or explains how to solve the problem'}
time	{'time', 'times'}	11	{'NOUN'}	{'an indefinite period (usually marked by specific attributes or activities)', 'a suitable moment', 'a period of time considered as a resource under your control and sufficient to accomplish something'}
model	{'modelling', 'modelled'}	11	{'VERB'}	{'create a representation or model of'}
similar	{'similar'}	11	{'ADJ'}	{'resembling or similar; having the same or some of the same characteristics; often used in combination', 'having the same or similar characteristics'}
condit	{'condition', 'conditions', 'conditioned'}	11	{'NOUN', 'VERB'}	{'an assumption on which rests the validity or effect of something else', 'specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement'}
brain	{'brains', 'brain'}	11	{'NOUN'}	{"that which is responsible for one's thoughts and feelings; the seat of the faculty of reason", 'mental ability'}
ross	{'Ross'}	10	{'PROPN'}	{'British explorer of the Arctic and Antarctic; located the north magnetic pole in 1831; discovered the Ross Sea in Antarctica; nephew of Sir John Ross (1800-1862)', 'British physician who discovered that mosquitos transmit malaria (1857-1932)'}
regard	{'regard'}	10	{'NOUN'}	{'the condition of being honored (esteemed or respected or well regarded)'}
let	{'let', 'Let'}	10	{'VERB'}	{'cause to move; cause to be in a certain position or condition'}
distinct	{'distinction', 'distinctions'}	10	{'NOUN'}	{'a distinguishing quality'}
find	{'find'}	10	{'VERB'}	{'establish after a calculation, investigation, experiment, survey, or study'}
oper	{'operations'}	10	{'NOUN'}	{'a business especially one run on a large scale'}
simpli	{'simply'}	10	{'ADV'}	{'absolutely; altogether; really'}
extent	{'extent'}	9	{'NOUN'}	{'the distance or area or volume over which something extends'}
notion	{'notion'}	9	{'NOUN'}	{'an odd or fanciful or capricious idea', 'a general inclusive concept'}
number	{'number'}	9	{'NOUN'}	{'a concept of quantity involving zero and units'}
deep	{'deep'}	9	{'ADJ'}	{'having great spatial extension or penetration downward or inward from an outer surface or backward or laterally or outward from a center; sometimes used in combination', 'marked by depth of thinking'}
program	{'programs'}	9	{'NOUN'}	{'a system of projects or services intended to meet a public need'}
carri	{'carry', 'carrying', 'carried'}	9	{'VERB'}	{"have with oneself; have on one's person", 'transmit or serve as the medium for transmission', 'serve as a means for expressing something'}
possess	{'possess'}	9	{'VERB'}	{'enter into and control, as of emotions or ideas'}
distinguish	{'distinguish', 'distinguishes'}	9	{'VERB'}	{'make conspicuous or noteworthy', 'detect with the senses'}
word	{'words'}	9	{'NOUN'}	{'an angry dispute', 'the text of a popular song or musical-comedy number'}
account	{'account', 'accounts'}	9	{'NOUN'}	{'a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.'}
instrument	{'instruments'}	9	{'NOUN'}	{'the semantic role of the entity (usually inanimate) that the agent uses to perform an action or start a process', 'the means whereby some act is accomplished', 'a person used by another to gain an end'}
aspect	{'aspects', 'aspect'}	9	{'NOUN'}	{'the beginning or duration or completion or repetition of the action of a verb', 'a characteristic to be considered'}
studi	{'study', 'studies'}	9	{'NOUN', 'VERB'}	{'applying the mind to learning and understanding a subject (especially by reading)', 'give careful consideration to'}
peopl	{'people'}	9	{'NOUN'}	{'the body of citizens of a state or country', 'the common people generally'}
forward	{'forward'}	9	{'ADV'}	{'toward the future; forward in time', 'forward in time or order or degree', 'in a forward direction'}
act	{'acts', 'act'}	9	{'VERB'}	{'play a role or part', 'behave in a certain manner; show a certain behavior; conduct or comport oneself', 'pretend to have certain qualities or state of mind', "discharge one's duties"}
